parking_id,scenario_id,dimension_code,subscore,weight_applied,weighted_contribution
39,5,DEMAND,32.475890117327076,0.3,9.742767035198122
107,5,DEMAND,23.010175682640153,0.3,6.903052704792046
97,5,DEMAND,45.26507601000801,0.3,13.579522803002403
112,5,DEMAND,21.850326848157117,0.3,6.555098054447135
54,5,DEMAND,26.515914174612703,0.3,7.95477425238381
73,5,DEMAND,25.219719315390076,0.3,7.565915794617022
77,5,DEMAND,28.482292169974393,0.3,8.544687650992318
116,5,DEMAND,18.69755920497775,0.3,5.609267761493325
60,5,DEMAND,32.22660810630069,0.3,9.667982431890206
106,5,DEMAND,27.61664827004614,0.3,8.284994481013841
109,5,DEMAND,35.22377347191352,0.3,10.567132041574055
25,5,DEMAND,27.597392172697404,0.3,8.27921765180922
110,5,DEMAND,11.191571643799092,0.3,3.3574714931397276
111,5,DEMAND,30.629491269869725,0.3,9.188847380960917
69,5,DEMAND,22.839161761690217,0.3,6.851748528507065
24,5,DEMAND,23.040450429880465,0.3,6.912135128964139
119,5,DEMAND,18.04638555330533,0.3,5.413915665991599
81,5,DEMAND,24.949436726372205,0.3,7.484831017911661
96,5,DEMAND,7.417586662612363,0.3,2.225275998783709
98,5,DEMAND,19.075493965753537,0.3,5.722648189726061
94,5,DEMAND,9.111555195131082,0.3,2.7334665585393245
78,5,DEMAND,32.84455982311941,0.3,9.853367946935823
79,5,DEMAND,24.359969984497713,0.3,7.307990995349313
57,5,DEMAND,22.662079083098035,0.3,6.798623724929411
114,5,DEMAND,19.398430089314836,0.3,5.81952902679445
103,5,DEMAND,13.350202818683078,0.3,4.005060845604923
70,5,DEMAND,22.351023455648217,0.3,6.705307036694465
62,5,DEMAND,21.787231594550335,0.3,6.5361694783651005
88,5,DEMAND,20.0955435792156,0.3,6.0286630737646805
71,5,DEMAND,9.437428309688638,0.3,2.8312284929065914
64,5,DEMAND,26.01121855834628,0.3,7.803365567503883
92,5,DEMAND,16.389631509320257,0.3,4.9168894527960765
113,5,DEMAND,24.242401136692628,0.3,7.272720341007788
